eventId,date,duration,position,radius,userNumber,tweetsNumber,importantHashtags
93f24842-9136-4486-a1d5-852a816c3ec1,2015-07-21 13:54:00,37620,-74.193191994;40.8231592798,324207.73,100,168,#jobs|#tweetmyjobs|#sales|#it|#art|#retail|#woodbridge|#nettempsjobs|#education|#nursing|#construction|#clerical|#nonprofit|#internship|#businessmgmt|#jackson|#accounting|#hospitality|#skilledtrade|#manufacturing
45684413-6442-4cb8-8f0d-790777a3a864,2015-07-21 11:20:00,31140,-77.5098358209;43.1326443284,389038.62,36,67,#rochester|#jobs|#tweetmyjobs|#engineering|#nursing|#healthcare|#customerservice|#accounting|#sales|#businessmgmt|#kellyservices|#it|#kellyjobs|#aerospace|#nettempsjobs|#retail|#veterans|#supplychain|#marketing|#clerical
11ffb2b9-e7ed-40ee-8069-0c9a608c72d2,2015-07-21 16:34:00,34320,-73.9603969844;40.8115651563,61423.35,47,64,#bronx|#tweetmyjobs|#latergram|#retail|#sunset|#veterans|#jobs|#centralpark|#hospitality|#jackson|#2015|#utilities|#philitophilly|#healthwelfare|#greenwichvillage|#streetart|#arizona|#beautiful|#physician|#mondaynight
1fed2544-1d5a-44b6-954e-2880a4e3c33e,2015-07-21 14:47:00,43320,-73.9971013571;42.2358168036,182973.47,37,56,#albany|#jobs|#veterans|#tweetmyjobs|#it|#retail|#engineering|#cfgjobs|#hospitality|#businessmgmt|#healthcare|#transportation|#accounting|#rhmrjobs|#marketing|#banking|#skilledtrade|#nursing|#sales|#veteranjobs
e27df66c-4f49-499d-a752-35d56dd53e8d,2015-07-21 11:32:00,24240,-74.0846673519;40.7263180556,46371.12,34,54,#jerseycity|#jobs|#tweetmyjobs|#it|#veterans|#accounting|#transportation|#facilitiesmgmt|#finance|#businessmgmt|#insurance|#retail|#customerservice|#investmentbanking|#simon|#purchasing|#socialsciences|#sales|#labor|#clerical
dc4a51ec-b0a7-4ca0-bb58-4202f509a665,2015-07-21 18:51:00,24000,-73.9496690417;40.7832309167,176838.38,39,48,#art|#fashion|#artwork|#nycart|#pucci|#nycartist|#woolmarkprize|#now|#artist|#summerofbyron|#menswear|#exhibition|#world|#museum|#here|#ralphpucci|#style|#dance|#capital|#hannaliden
958511aa-aa23-402f-8127-90f66ff09ce2,2015-07-21 20:27:00,21780,-74.0537638182;40.8777653409,388616.21,33,44,#photo|#queens|#fashion|#art|#bedstuysuperkids|#soccer|#photographer|#museum|#liebegirls|#barrysbeautybar|#eua|#eljimador|#sangria|#smiles|#creative|#usa|#sky|#psari|#nuevayork|#openbar
258274fd-9a9f-49d9-bdbd-20f70a9bf446,2015-07-21 17:49:00,38760,-73.9754313056;40.7684605278,3059.66,26,36,#centralpark|#usa|#305roaming|#nycpics|#holidays|#green|#johnlennon|#picbyme|#myown|#travel|#tellittoanothersucker|#imagine|#hope|#vacation|#walking|#bethesdsterraca|#sevenwanders|#outdoorparty|#stylisheyez|#afterwords
41737b3c-ec7b-4379-a3ae-fab16ecfcc37,2015-07-21 18:31:00,30840,-73.9453268286;40.7423725429,20069.1,26,35,#vscocam|#queens|#vsco|#vsconyc|#photogrid|#vscousa|#jobs|#traffic|#like|#amnh|#seafoodtuesdays|#astoria|#made|#portrait|#floloungebar|#memorial|#fitfam|#instafood|#summertimenyc|#instayum
a04d8e8f-b75a-43c6-849c-b9f8349838f0,2015-07-21 21:01:00,13020,-73.9132328966;40.8017204483,46063.3,28,29,#yankees|#bronx|#music|#catchgreatness|#baseball|#nyy|#yankeestadium|#mlb|#orioles|#bossseats|#twoshas|#videos|#karaoke|#karaoketuesdays|#streetartnyc|#underground|#live|#streetmusic|#jazzclub|#tastethechange
c80e8d4d-0c45-4f99-9983-073c5f7e1410,2015-07-21 10:04:00,15240,-74.0199690455;40.7503762273,8783.04,20,22,#jerseycity|#jobs|#fashion|#photo|#nettempsjobs|#retail|#mensfashion|#model|#lifestyle|#new|#tweetmyjobs|#photographer|#malemodel|#exciting|#clothing|#thenewschool|#culture|#style|#opensource|#legal
e2a2c4af-1d41-4e64-aa12-b61d3ee42f48,2015-07-21 21:07:00,8220,-73.86734945;40.79981765,171047.6,20,20,#sunset|#usa|#statueofliberty|#sky|#beauty|#nofilter|#batteryplace|#goldenhour|#cat|#ilikethissortofthing|#america|#intrepid|#watcher|#ladyliberty|#hues|#phnomkoulen|#cloudporn|#lidoworld|#starbucks|#travel
83220420-9935-4847-9367-dcbb548d74fb,2015-07-21 15:56:00,28380,-74.1624766923;41.3524403077,301957.73,8,13,#music|#saintrose|#college|#strosepce|#strose|#tweetmyjobs|#hastypage|#band|#greenlife|#taylorswift|#beethoven|#liebegirls|#makes|#liebelife|#smile|#grownyc|#happy|#me|#goinguponatuesday|#plants
4235cbd1-6bc6-4740-9901-e461045378ec,2015-07-21 21:32:00,8760,-73.98572475;40.7601185,297.35,11,12,#broadway|#findingneverland|#chicago|#wicked|#vacaciones|#museomadametussauds|#nuevayork|#travelling|#gershwintheater|#hemingway|#viagem|#loureed|#yellowcab|#theater|#funhome|#travel|#querodenovo|#wickedthemusical|#aggtm|#musical
4ade387b-992e-4f39-a13b-c7879fd8c943,2015-07-21 18:51:00,4200,-73.9876411818;40.760233,691.45,10,11,#broadway|#kinkyboots|#theatre|#family|#thephatomoftheopera|#someculture|#awesomeniece|#friends
17cef75d-2f6c-4d92-8c09-3c433c68eb78,2015-07-21 07:59:00,20940,-73.93957425;42.209579,79623.06,8,8,#albany|#jobs|#tweetmyjobs|#cfgjobs|#madison|#traffic|#hospitality|#manufacturing|#djembe|#jefferson|#projectmgmt|#investmentbanking|#healthcare|#sabali|#conga|#banking
b5fa8d83-7755-4dad-ab35-2061225d9826,2015-07-21 21:22:00,7200,-74.0741935;40.87679,103476.95,8,8,#selfie|#fun|#lol|#thefryingpan|#relaxing|#chill|#week28|#selstagram|#boat|#timessquare|#mybed|#beat|#friends|#home|#vrgt15
cc8e3055-bcbc-4906-a596-d0616d8bbd06,2015-07-21 18:59:00,4800,-73.926492375;40.82936,8.53,8,8,#yankees|#orioles|#mlb|#baseball|#boozebuddy|#suite|#myforevercaptain|#missyoujeter
60ba83a8-42c3-4de7-b9f0-455721aba496,2015-07-21 18:59:00,21300,-73.9589665714;40.7563938571,3889.91,7,7,#selfie|#stripes|#snapchat|#fun|#ripped|#laughs|#beastmode|#newstylehustle|#hustle|#godiva|#olivegreen|#gym|#dothehustle|#iphone|#militarygreen|#fitness|#equinox|#fit|#physique|#dimples
a0c2327b-eb12-424f-8f39-7f716d429751,2015-07-21 09:09:00,15480,-73.9989892;40.7356526,1055.32,5,5,#selfie|#photography|#beards|#prettymakeup|#curlyhair|#madisonsquaregarden|#audition|#beardo|#smokinaces|#beard|#poster|#holidays
dc907896-8d51-474c-aecc-57703989e753,2015-07-21 11:30:00,9960,-73.97777775;40.70637575,1941.53,4,4,#latergram|#filmisnotdead|#faileart|#pompommirror|#neon|#foosball|#table|#soccer|#princecharles|#bitforms|#btheradshootsfilm|#danielrozin|#35mm|#film|#whereistonyb
548ae1ee-b515-4849-b2b0-553e98b8e85e,2015-07-21 22:12:00,8340,-73.985615;40.7475735,908.4,4,4,#latergram|#iphone5|#flyclique|#takenbyiphone5|#les|#nevercoast|#johnnychimpo|#saturday|#lifestyle|#funtime|#supertroopers|#iphoneography
2ecfa583-d5cd-48df-baaa-5c6399e27895,2015-07-21 09:11:00,15360,-74.0214146667;40.7323153333,2841.5,3,3,#usa|#elezioni|#followme|#repubblicani|#instafollow|#morning|#follow|#trump
95109420-c580-4583-b3b5-4f5fe1f85b15,2015-07-22 11:58:00,29700,-74.3983481765;41.0528020882,390317.68,92,136,#jobs|#tweetmyjobs|#retail|#education|#it|#labor|#virtualnjcity|#internship|#hospitality|#marketing|#williamson|#nettempsjobs|#facilitiesmgmt|#construction|#legal|#hoboken|#accounting|#nonprofit|#recruiting|#nursing
c4ad4c6a-6863-437b-8bf5-f715cb846485,2015-07-22 10:04:00,31260,-73.9612534887;40.8095521805,310188.44,110,133,#goodmorning|#travel|#fashion|#vscocam|#usa|#latergram|#beach|#beautiful|#nofilter|#style|#vsco|#instagood|#centralpark|#sunset|#humpday|#bags|#sun|#photooftheday|#hamptons|#sunrise
9a392e12-bcbb-4806-92d6-47d2ca12fa6a,2015-07-22 18:57:00,51000,-73.9892689551;40.7774589775,140497.93,77,89,#centralpark|#sunset|#humpday|#summerstage|#milkychance|#gotham|#citygirl|#citylife|#nofilter|#instagram|#city|#skyline|#us|#run|#iphoneonly|#trucnnyc|#uptowngirl|#unitedstates|#wednesday|#summernights
1e27ca21-e187-45f9-bde3-3a8e43779784,2015-07-22 18:12:00,36120,-74.0971831605;40.8016474691,547764.13,75,81,#timessquare|#broadway|#usa|#beautiful|#music|#fashion|#believeitornot|#fun|#museum|#me|#findingneverland|#happy|#summertime|#view|#soho|#gorgeous|#concert|#picoftheday|#clouds|#sky
6c6fb4fa-d48c-4593-b74a-2d075eb701d3,2015-07-22 20:56:00,15300,-73.992744589;40.750931863,842.03,40,73,#u2|#u2ietour|#msg|#u2msg|#bono|#madisonsquaregarden|#concert|#verygood|#worldsbiggestu2fan|#jimmyfallon|#ietour|#theroots|#night|#inside|#thegarden|#lovethem|#digitalart|#basicallyfrontrow|#u2ga|#followmeto
f10c5a05-9a10-4450-8a9e-50d6fb068980,2015-07-22 13:11:00,33240,-74.0270325373;42.3713233731,327809.69,45,67,#albany|#jobs|#tweetmyjobs|#it|#veterans|#cfgjobs|#banking|#transportation|#warren|#accounting|#nettempsjobs|#retail|#businessmgmt|#skilledtrade|#insurance|#projectmgmt|#traffic|#engineering|#sales|#generalscience
38fdf8ab-6893-4644-9a45-915fd0529850,2015-07-22 12:22:00,31980,-77.6133202687;43.1605402836,7244.44,36,67,#rochester|#jobs|#tweetmyjobs|#nursing|#accounting|#manufacturing|#healthcare|#customerservice|#transportation|#businessmgmt|#kellyservices|#engineering|#kellyjobs|#banking|#aerospace|#skilledtrade|#dialysis|#it|#cfgjobs|#clerical
909df606-0b8f-4dc0-bdfd-28d6ad858862,2015-07-22 10:32:00,28080,-74.3998251475;40.882682918,456160.34,37,61,#jerseycity|#tweetmyjobs|#jobs|#veterans|#finance|#businessmgmt|#skilledtrade|#socialsciences|#accounting|#retail|#it|#chaffee|#nettempsjobs|#facilitiesmgmt|#internship|#investmentbanking|#atlanta|#engineering|#sales|#hr
6ce51ecf-9559-4374-805b-73fafcb6a911,2015-07-22 14:18:00,37020,-74.1998215833;40.6987967333,402176.73,39,60,#sales|#tweetmyjobs|#woodbridge|#jobs|#veterans|#retail|#art|#construction|#hoboken|#lxkcareers|#it|#jackson|#longisland|#milspouse|#jerseycity|#green|#realestate|#projectmgmt|#opensource|#writing
9af8cc94-2a7d-44b6-84d1-4d707cc82224,2015-07-22 19:51:00,20220,-73.9268919149;40.7181565957,203900.19,41,47,#vscocam|#latergram|#vsco|#beach|#happy|#summertime|#vscousa|#manabouttown|#bushwick|#timessquare|#oyanyc|#vsconyc|#selfie|#thehamptons|#forttilden|#nature|#nofilter|#nyc2013|#twins|#twina
b0f0a58e-2a22-4ff0-8fdc-03bff3368efe,2015-07-22 14:53:00,35460,-73.9641189714;40.8965749143,58193.3,29,35,#art|#moma|#photocollage|#petportrait|#digitalart|#mixedmediacollage|#custompetportrait|#watercolor|#abstract|#glitchart|#glitche|#streetart|#nbevolution|#colors|#artdiary|#graffiti|#alwaysinbeta|#artist|#guggenheim|#rockawaybeach
f404714d-4ab4-457f-acbd-c3c1252662f1,2015-07-22 19:52:00,18540,-73.9278299118;40.8235790882,11250.66,31,34,#yankees|#bronx|#yankeestadium|#nyy|#baseball|#nyyankees|#bendicion|#catchgreatness|#goodtimes|#mylife|#andifellasleep|#upi|#lovethem|#concert|#itsajungle|#stillagiantsfan|#takemetocitizensbankpark|#soylani|#arod|#bestfoodever
f8d896ca-6d04-4d6a-a771-ec2d68498c81,2015-07-22 17:12:00,36840,-74.0334259677;40.9275431613,380282.43,31,31,#nofilter|#fireescapegarden|#hdr|#spacastle|#2015|#bloomingdales|#clouds|#baltic|#nofilterneeded|#nybynewyorkers|#lipsticks|#makeovers|#gylc|#hamptonbound|#kugey|#wednesday|#blueskies|#skyporn|#makeupartist|#nycnights
ac04410e-df67-4b74-89a1-bb2864f78db0,2015-07-22 18:32:00,28500,-74.4291500417;41.4584231667,353235.5,19,24,#photo|#artdealer|#snapchat|#artgallery|#live|#video|#siasummer|#vladanikiforova|#summerofart
4acf54a4-6218-4b1e-b437-bd08c61541ac,2015-07-22 13:20:00,15780,-73.9155119524;40.782255619,176858.33,20,21,#wcw|#shoutout|#awkward|#sexy|#realbeauty|#pearlet|#sensational|#singer|#ss15|#mypoorbaby|#bar|#vbeaute|#irresistible|#sitslikeachamp|#islandgirl|#sexythick|#straighttalk|#zoeyfree|#kaceyk|#canal
a061c209-84e7-4218-9f1a-3f4ea296df1c,2015-07-22 13:36:00,46980,-73.8661916;40.84923,386.2,10,15,#bronx|#tweetmyjobs|#veterans|#jobs|#businessmgmt|#skilledtrade|#clerical|#thinkgreen|#construction|#customerservice|#retail|#labor|#utilities|#pharmaceutical|#healthcare
9d62f078-623e-4ba8-a733-2e28105fd499,2015-07-22 21:27:00,13440,-73.98564325;40.7500868333,5778.37,10,12,#friends|#dinner|#night|#monicasapartment|#exitos|#lebain|#tryingtosing|#party|#tongueout|#grovest|#bowreyst|#tits|#tongue|#history|#shadows|#smile|#makingmorememories|#drinks|#karaok|#friendsbuilding
b44b1917-a79d-48c1-849f-52a95bc1e9f4,2015-07-22 12:19:00,18720,-73.9476346364;40.7303865455,49628.31,7,11,#music|#jobs|#tweetmyjobs|#concert|#show|#tonight|#hillsongunited|#classic|#spotify|#hiphop|#countdownbegins|#rnb|#msg|#hits|#live|#industry|#startup|#nikontheater|#rnbmusic|#concerts
2c32d856-4a04-4d15-afd4-0321782e5830,2015-07-22 20:21:00,13800,-73.98822475;40.734975375,4601.84,6,8,#wcw|#womancrushwednesday|#sosexy|#loveher|#sensual|#dancelikeweremakinglove|#sexy|#ciara|#gorgeous|#hhd
e6d9a058-cbc5-4e70-a87d-0c816e3c68ce,2015-07-22 06:13:00,28320,-73.7169123333;40.7709093333,150955.63,6,6,#art|#fashion|#style|#tanster|#shitthatsreal|#sungasses|#lifestyle|#kunst|#barista|#loveistheanswer|#goddess|#europe|#bushwick|#trashart|#artfart|#badass|#jewelrydesign|#cappuccino|#outdoor|#danspapers
79e28c08-5204-44bd-9285-a0f9bd8dab3d,2015-07-22 19:06:00,26100,-74.0591008333;40.7166311667,2956.63,6,6,#jerseycity|#thirdandvine|#newjersey|#blackandwhite|#studio|#thehunt|#books|#mypeoplerock|#ishootthings|#baysidepark|#dtjc|#jcbound|#indie|#digital|#jceats|#mobileart|#eeeeeats|#downtownjerseycity|#digitalphotography|#webseries
3809389d-9f6a-442b-8f51-0b8ec2d30287,2015-07-22 01:22:00,35880,-73.9285544;40.7959828,8213.94,3,5,#music|#bronx|#booming|#beats|#oldschool|#jakeuno|#dopeness|#collaboration|#thattimewhen|#fuxwitthetux|#dj|#model|#musicphotography|#45s|#shotbyboa|#shakimono
fc296ff4-bf3d-4ea8-b4e9-68b0c5084af3,2015-07-22 13:27:00,6900,-74.00510625;40.69552825,1276.17,4,4,#friends|#realfrienship|#dustinyellin|#wenesday|#yes|#happy|#pioneerworks|#iloveher|#restaurant|#artist|#brunch|#cool|#picoftheday
f6b576cb-8ce0-4412-a341-ec5b6917a4c8,2015-07-22 06:55:00,23460,-73.9901043333;40.7257613333,1196.2,3,3,#wcw|#hbd|#tbt
daed884a-650f-40af-992e-33fa24faf0f0,2015-07-22 19:12:00,5700,-73.9944633333;40.7316543333,2050.48,3,3,#sales|#tweetmyjobs|#veterans|#inc|#jobs
38fb6007-f0c1-4a8b-9dd8-6f2dd152714c,2015-07-23 12:20:00,32760,-74.1762849757;41.1782769236,387929.2,192,288,#careerarc|#jobs|#jerseycity|#albany|#veterans|#retail|#nursing|#it|#hospitality|#healthcare|#businessmgmt|#accounting|#jackson|#nettempsjobs|#teaneck|#sales|#marketing|#internship|#labor|#transportation
93eb8d75-182d-4f9e-a4d9-003f56579cc4,2015-07-23 12:16:00,23700,-74.0393882247;40.8163747528,487444.13,168,178,#tbt|#throwbackthursday|#classic|#vacation|#collectibles|#thursday|#wilmington|#cmafest2015|#nashville|#videogame|#winning|#loveyou|#mpc1000|#hewroteonacard|#vintageskatead|#barberlife|#vintage|#barbershopconnect|#jennyffermiller|#onaboat
